['s28', 'Movie', 'Grown Ups', 'Dennis Dugan', 'Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten', 'United States', 'September 20, 2021', '2010', 'PG-13', '103 min', 'Comedies', 'Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.']
['s153', 'Movie', 'Janoskians: Untold and Untrue', 'Brett Weiner', 'Jai Brooks, Luke Brooks, James Yammouni, Daniel Sahyounie, Beau Brooks', 'United States', 'September 1, 2021', '2016', 'TV-MA', '88 min', 'Comedies', 'Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.']
['s183', 'Movie', 'Welcome Home Roscoe Jenkins', 'Malcolm D. Lee', "Martin Lawrence, James Earl Jones, Joy Bryant, Margaret Avery, Mike Epps, Mo'Nique, Cedric the Entertainer, Nicole Ari Parker, Michael Clarke Duncan, Louis C.K.", 'United States', 'September 1, 2021', '2008', 'PG-13', '114 min', 'Comedies', "R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become."]
['s343', 'Movie', 'Major Payne', 'Nick Castle', 'Damon Wayans, Karyn Parsons, William Hickey, Michael Ironside, Albert Hall, Ross Bickell, Orlando Brown, Peyton Chesson-Fohl, Steven Martini', 'United States', 'August 1, 2021', '1995', 'PG-13', '97 min', 'Comedies', 'A hardened Marine is given his marching orders and must now lead a disorderly group of mismatched cadets into a junior ROTC competition.']
['s349', 'Movie', 'Poms', 'Zara Hayes', 'Diane Keaton, Jacki Weaver, Pam Grier, Rhea Perlman, Celia Weston, Alisha Boe, Charlie Tahan', 'United Kingdom, United States', 'August 1, 2021', '2019', 'PG-13', '91 min', 'Comedies', 'After moving to a retirement community, loner Martha befriends a fun-loving neighbor and forms a cheerleading club for young-at-heart seniors.']
['s563', 'Movie', 'Austin Powers: International Man of Mystery', 'Jay Roach', 'Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth Green, Fabiana Udenio, Mindy Sterling, Paul Dillon, Charles Napier, Will Ferrell', 'United States', 'July 1, 2021', '1997', 'PG-13', '90 min', 'Comedies', "A swingin' fashion photographer by day and a groovy British secret agent by night, superspy Austin Powers must foil the sinister schemes of Dr. Evil."]
['s585', 'Movie', 'Not Another Teen Movie', 'Joel Gallen', 'Chyler Leigh, Chris Evans, Jaime Pressly, Eric Christian Olsen, Mia Kirshner, Deon Richmond, Eric Jungmann, Ron Lester, Cody McMains, Sam Huntington, Lacey Chabert, JoAnna Garcia Swisher, Samm Levine, Cerina Vincent', 'United States', 'July 1, 2021', '2001', 'R', '89 min', 'Comedies', 'On a bet, a gridiron hero at John Hughes High School sets out to turn a bespectacled artist into a prom queen in this outrageous parody.']
['s889', 'Movie', 'The Upshaws - The Afterparty', '', 'David Spade, London Hughes, Fortune Feimster, Wanda Sykes, Mike Epps, Kim Fields', '', 'May 14, 2021', '2021', 'TV-14', '32 min', 'Comedies', 'The comedic dream team from "The Upshaws" discuss the hit series, share some anecdotes from their own upbringings and play a little swag-centric game.']
['s913', 'Movie', 'The Circle - The Afterparty', '', 'David Spade, London Hughes, Fortune Feimster', '', 'May 7, 2021', '2021', 'TV-14', '35 min', 'Comedies', 'Stars of "The Circle" drop by to discuss Season 2\'s big winner, some juicy behind-the-scenes gossip and their enduring friendships with one another.']
['s932', 'Movie', 'Fun with Dick & Jane', 'Dean Parisot', 'Jim Carrey, Téa Leoni, Alec Baldwin, Richard Jenkins, Angie Harmon, John Michael Higgins, Richard Burgi, Carlos Jacott, Aaron Michael Drozin, Gloria Garayua', 'United States', 'May 1, 2021', '2005', 'PG-13', '91 min', 'Comedies', 'After losing their high-paying corporate jobs, an upwardly mobile couple turns to robbing banks to maintain their standard of living.']
['s949', 'Movie', 'Swiped', 'Ann Deborah Fishman', 'Kendall Ryan Sanders, Noah Centineo, Nathan Gamble, Kristen Johnston, Leigh-Allyn Baker, Christian Hutcherson, Shelby Wulfert, Steve Daron, Kalani Hilliker, Maddy Curley, George Hamilton', 'United States', 'May 1, 2021', '2018', 'TV-14', '94 min', 'Comedies', 'When two college roommates develop a discreet hookup app, casual affairs – and complications – soon run rampant on campus.']
